Srl_Num,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Occupation ,Your hometown ?,Roll Number ,Institute ,
1239,3,8,5,8,8,3,7,5,3,9,3,2,3,8,Samsung,Retail,Cola,Everyday,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Kolkata,C23023,Praxis Business School,
1240,8,9,2,5,10,9,2,0,9,1,0,0,0,9,Others,Online,Fruit flavour,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Student,Kolkata,C23012,Praxis Business School,
1241,0,9,1,0,10,0,7,8,10,10,10,9,1,10,Xiaomi,Online,Cola,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Student,Other towns in East,C23026,Praxis Business School,
1242,8,9,3,9,9,3,7,8,5,8,6,7,5,6,Samsung,Retail,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,C23039,Praxis Business School,
1243,5,7,4,8,6,10,0,0,5,4,3,0,0,4,Others,Online,White/Colourless,Never,Never,Less Often,Never,Newspaper,Retail Stores,29-33,Male,Student,Kolkata,C23017,Praxis Business School DS,
1244,10,10,6,6,10,5,2,9,10,8,8,7,7,6,Xiaomi,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Kolkata,C23036,Praxis Business School,
1245,7,9,3,8,9,9,3,3,2,9,1,8,3,1,Vivo,Retail,Cola,Never,Less Often,Less Often,Less Often,Online,Online,24-28,Male,Student,Delhi,C23003,"Praxis Business School, Kolkata",
1246,0,0,10,0,10,5,2,2,10,10,0,0,0,5,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Never,Less Often,Never,Online,Retail Stores,24-28,Male,Student,Kolkata,C23033,PRAXIS BUSINESS SCHOOL,
1247,4,9,5,0,8,2,7,0,5,9,6,0,0,9,Samsung,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Online,29-33,Male,Others,Other towns in East,C23020,Praxis biz school.,
1248,10,9,2,8,8,8,8,6,9,7,5,9,8,2,Samsung,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,29-33,Male,Student,Kolkata,C23001,Praxis Business School,
1249,6,9,9,3,9,9,5,8,9,8,9,9,5,4,Apple,Online,Cola,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Kolkata,C23034,PRAXIS BUSINESS SCHOOL,
1250,6,7,6,9,6,5,6,7,9,9,6,7,9,6,Others,Online,Orange,Everyday,Less Often,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Working Executive,Kolkata,C23010,Praxis Business School ,
1251,2,10,6,7,9,9,8,1,4,6,6,2,4,6,One Plus,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,C23024,Praxis Business School,
1252,9,10,7,1,8,9,1,6,9,9,1,2,3,1,Oppo,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,29-33,Male,Student,Kolkata,C23005,Praxis,
1253,7,8,4,8,9,8,4,3,8,8,3,1,1,5,Oppo,Retail,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Mumbai,MBA/BA02/028,IIM AMRITSAR,
1254,0,5,0,0,0,2,10,10,10,10,10,10,0,10,Samsung,Retail,Orange,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Student,Mumbai,MBA/08/182,Indian Institude of Management Amristar ,
1255,2,7,9,5,6,7,9,1,5,9,4,1,4,3,Others,Online,Cola,Less Often,Less Often,Less Often,Everyday,Online,Retail Stores,24-28,Male,Student,Other towns in East,MBA/08/146,IIM AMRITSAR,
1256,5,9,4,5,2,3,4,5,8,10,9,9,5,10,Others,Online,Cola,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,MBA/08/050,IIM AMRITSAR ,
1257,10,10,6,8,9,8,2,6,8,5,2,2,5,5,Apple,Online,Fruit flavour,Never,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,MBA/08/016,"Indian Institute of Management, Amritsar",
1258,0,0,10,8,10,0,10,10,10,10,9,3,8,10,One Plus,Online,Fruit flavour,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Student,Bangalore,MD HASSAN ,IIM AMRITSAR ,
1259,10,9,3,6,7,4,8,6,10,10,3,3,5,8,Apple,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in North,MBA/08/078,IIM Amritsar,
1260,5,7,6,7,4,8,4,1,7,5,2,0,1,2,Apple,Retail,Cola,Everyday,Less Often,Less Often,Less Often,Newspaper,Retail Stores,18-23,Male,Student,Other towns in West,MBA/08/157,IIM Amritsar,
1261,3,10,3,5,10,10,8,10,10,8,10,4,5,9,Apple,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Male,Student,Other towns in East,MBA/08/046,IIM AMRITSAR,
1262,8,10,9,10,10,8,5,10,10,10,5,4,5,3,Samsung,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Male,Student,Other towns in North,MBA08/098,IIM Amritsar ,
1263,7,8,7,8,1,6,10,8,3,8,2,8,10,7,Apple,Retail,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in East,MBA/08/179,IIM Amritsar ,
1264,0,10,10,10,8,10,0,0,5,10,5,0,10,5,Others,Online,White/Colourless,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in South,MBA/08/033,IIM Amritsar,
1265,3,10,5,8,10,7,0,5,10,10,3,3,4,3,Xiaomi,Online,Cola,Never,Less Often,Less Often,Never,Online,Retail Stores,24-28,Male,Student,Hyderabad,Jagana Bharadwaj ,IIM AMRITSAR ,
1266,7,10,7,8,4,2,1,0,7,5,8,3,0,9,One Plus,Online,Cola,Never,Never,Less Often,Never,Newspaper,Retail Stores,18-23,Male,Student,Other towns in North,MBA/08/137,"Indian Institute of Management, Amritsar ",
1267,8,8,2,10,10,7,1,10,8,9,9,0,0,9,Apple,Retail,Cola,Never,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Student,Other towns in West,MBA/08/145,IIM AMRITSAR ,
1268,9,9,8,7,6,9,4,5,3,6,5,4,8,6,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Everyday,Online,Online,18-23,Female,Student,Other towns in North,Mba/08/236,IIM Amritsar,
1269,8,7,1,9,8,9,10,8,8,7,9,1,1,2,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Male,Student,Kolkata,MBA/08/026,IIM Amritsar,
1270,5,10,1,8,9,10,2,6,1,10,10,6,6,4,Apple,Online,Orange,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in South,MBA08060,IIM AMRITSAR,
1271,8,8,3,8,7,9,7,8,1,3,8,7,7,3,Xiaomi,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/243,IIM Amritsar ,
1272,2,5,5,2,10,2,8,3,8,7,5,1,6,8,Apple,Retail,Cola,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Female,Student,Kolkata,MBA/08/190,INDIAN INSTITUTE OF MANAGEMENT AMRITSAR ,
1273,2,5,10,10,6,8,8,9,9,2,6,9,9,6,Apple,Retail,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Male,Student,Other towns in East,MBA/08/024,IIM Amritsar,
1274,8,9,8,5,8,4,8,7,8,8,5,1,2,8,Others,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,29-33,Male,Student,Other towns in North,MBA/BA02/011,IIM AMRITSAR,
1275,0,8,8,5,10,0,8,0,8,7,3,6,4,7,Others,Online,Cola,Never,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/112,IIM Amritsar,
1276,7,10,8,5,10,7,7,7,7,7,4,6,6,5,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,MBA/08/066,IIM Amritsar ,
1277,2,5,8,5,5,9,7,1,5,2,5,2,5,1,One Plus,Online,Fruit flavour,Never,Less Often,Never,Never,Newspaper,Retail Stores,24-28,Male,Student,Hyderabad,MBA/08/181,IIM Amritsar,
1278,4,7,5,7,10,7,8,6,8,8,5,3,6,3,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Student,Other towns in South,MBA/08/014,IIM Amritsar,
1279,6,8,3,3,9,9,7,2,3,10,3,1,6,2,One Plus,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Online,Online,29-33,Male,Student,Other towns in North,MBA/08/019,IIM Amritsar ,
1280,2,8,3,7,10,6,7,4,4,8,7,2,0,7,Samsung,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Student,Delhi,MBA08127,IIM Amritsar,
1281,8,10,5,4,3,3,2,7,4,10,8,7,9,9,One Plus,Retail,Cola,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Female,Student,Other towns in East,MBA/08/172,Indian Institute of Management Amritsar ,
1282,6,9,4,7,10,4,4,7,7,8,5,7,5,3,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in East,MBA/BA02/025,IIM AMRITSAR ,
1283,6,6,8,3,8,1,5,4,6,6,4,2,4,10,Samsung,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in West,MBA/08/132,IIM Amritsar ,
1284,3,9,7,3,10,5,7,9,8,7,2,1,4,5,Oppo,Retail,Fruit flavour,Never,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in East,MBA/08/007,Indian Institute of Management Amritsar,
1285,8,10,6,5,10,2,1,8,1,2,4,1,5,9,Samsung,Retail,White/Colourless,Less Often,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Student,Mumbai,MBA/08/031,Indian Institute of Management Amritsar ,
1286,0,8,8,9,10,2,9,3,5,4,3,1,2,8,Apple,Online,Cola,Everyday,Less Often,Less Often,Everyday,Online,Retail Stores,24-28,Female,Student,Other towns in South,MBA/08/226,IIM Amritsar,
1287,7,9,7,5,9,7,4,6,0,8,5,1,5,5,Apple,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,29-33,Male,Student,Other towns in East,MBA/BA02/008,IIM Amritsar,
1288,3,8,8,9,10,9,5,2,9,10,4,2,5,3,Apple,Online,Orange,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Male,Student,Mumbai,MBA/08/036,IIM Amritsar,
1289,9,9,6,8,10,8,2,8,3,10,1,5,6,0,Samsung,Online,White/Colourless,Less Often,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/003,IIM AMRITSAR,
1290,5,5,5,5,5,5,10,10,0,3,10,10,0,4,Apple,Retail,Orange,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Student,Other towns in West,MBA/08/005,IIM Amritsar,
1291,7,10,5,7,9,5,3,0,5,3,5,0,3,5,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Less Often,Less Often,Online,Online,24-28,Male,Student,Other towns in South,MBA08108,IIM Amritsar,
1292,4,7,4,7,10,4,7,0,8,8,8,2,3,4,Samsung,Online,Orange,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,MBA/08/188,IIM Amritsar,
1293,9,7,8,0,10,5,4,6,8,8,9,4,5,3,One Plus,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,MBA/08/221,IIM AMRITSAR ,
1294,8,10,5,8,7,3,4,5,8,10,9,5,7,9,Xiaomi,Online,Orange,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Student,Kolkata,MBA/08/120,IIM Amritsar,
1295,2,9,7,9,9,9,9,8,7,10,8,2,7,0,Samsung,Retail,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,MBA/08/230,"IIM, Amritsar",
1296,1,8,2,8,10,5,6,2,7,6,6,1,2,5,One Plus,Online,I do not consume soft drinks at all,Never,Never,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/218,IIM a,
1297,9,10,3,6,8,9,7,5,9,10,6,2,5,3,Samsung,Online,Cola,Less Often,Everyday,Everyday,Everyday,Online,Online,24-28,Male,Student,Other towns in North,MBA/08/107,IIM Amritsar,
1298,9,8,2,1,7,2,1,2,9,10,7,1,1,9,Samsung,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Kolkata,MBA/08/131,IIM Amritsar ,
1299,1,2,5,10,10,10,10,0,10,2,2,2,3,2,Others,Online,Cola,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/110,IIM Amritsar ,
1300,9,9,7,7,9,9,9,9,10,9,8,9,9,9,Apple,Retail,White/Colourless,Never,Everyday,Everyday,Never,Newspaper,Online,18-23,Male,Student,Other towns in West,MBA/08/229,IIM AMRITSAR ,
1301,6,8,4,10,9,6,8,6,9,10,8,6,6,10,Samsung,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in West,MBA/08/047,IIM Amritsar,
1302,5,9,8,10,10,10,6,6,1,8,5,5,8,1,One Plus,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Student,Other towns in South,MBA/08/161,"IIM, Amritsar ",
1303,4,8,8,5,8,7,7,3,3,5,7,4,5,2,Oppo,Retail,Fruit flavour,Never,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in West,MBA/08/196,IIM Amritsar ,
1304,7,9,4,8,10,10,5,2,5,9,5,2,3,0,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in North,MBA/08/231,"Indian Institute of Management, Amritsar ",
1305,7,6,6,5,7,9,8,6,8,6,9,5,7,1,Apple,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Online,18-23,Male,Student,Other towns in North,MBA/08/217,IIM Amritsar ,
1306,4,6,7,7,5,7,4,8,8,6,6,6,6,4,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,MBA/BA02/020,IIM Amritsar ,
1307,2,8,2,8,5,1,6,1,2,6,5,0,1,5,Others,Online,Cola,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/079,IIM Amritsar ,
1308,7,9,5,8,6,10,6,10,7,7,4,10,8,6,One Plus,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in North,MBA/08/164,IIM AMRITSAR ,
1309,5,8,4,4,10,2,8,3,5,9,8,3,3,6,Others,Online,Cola,Never,Less Often,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/220,Indian Institute of Management Amritsar,
1310,0,6,8,8,7,10,10,10,8,8,7,7,7,6,Apple,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Student,Other towns in North,MBA/08/201,Ishu Yadav,
1311,8,10,10,3,10,8,3,2,5,5,7,3,3,5,One Plus,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/075,IIM Amritsar ,
1312,9,5,7,8,9,10,4,4,7,8,8,9,7,4,Apple,Retail,Cola,Less Often,Less Often,Less Often,Never,Online,Online,24-28,Male,Student,Other towns in North,MBA/08/076,"IIM,A mritsar",
1313,3,10,7,10,0,10,10,8,2,10,3,8,10,2,Apple,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in North,MBA/08/214,IIM Amritsar ,
1314,0,8,3,5,5,0,9,8,9,8,9,5,7,10,Apple,Retail,Cola,Never,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Student,Hyderabad,MBA/BA02/029,IIM Amritsar ,
1315,0,8,7,9,6,3,7,7,7,8,3,6,6,3,Apple,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in South,MBA/BA02/024,IIM Amritsar,
1316,0,9,0,10,5,10,7,9,5,9,5,6,5,5,Apple,Retail,Fruit flavour,Never,Less Often,Less Often,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/142,IIM Amritsar ,
1317,8,8,6,7,9,8,6,8,8,8,9,7,7,6,Others,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Delhi,MBA/BA02/022,IIM Amritsar,
1318,9,10,10,10,10,9,9,5,10,10,1,2,2,0,Samsung,Retail,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in West,MBA/08/080,IIM Amritsar,
1319,3,7,1,9,7,2,9,9,8,8,3,1,1,2,One Plus,Online,White/Colourless,Never,Less Often,Less Often,Less Often,Online,Online,29-33,Male,Student,Other towns in North,mba/08/206,indian institute of managemnt,
1320,7,3,5,8,10,6,1,4,9,8,1,6,7,3,Apple,Retail,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Other towns in North,MBA/08/163,IIM Amritsar,
1321,2,7,6,6,2,0,10,4,8,7,3,7,5,7,Others,Online,Orange,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,29-33,Male,Student,Other towns in East,MBA/08/195,IIM Amritsar,
1322,5,3,3,2,7,4,6,6,4,7,4,5,3,5,Samsung,Retail,White/Colourless,Less Often,Never,Never,Less Often,Online,Retail Stores,24-28,Male,Student,Chennai,MBA08160,IIM Amritsar,
1323,10,10,8,7,10,10,2,3,5,10,0,2,10,5,Samsung,Online,Cola,Everyday,Never,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/138,"Indian Institute of Management, Amritsar",
1324,2,6,4,7,7,0,7,3,5,8,8,1,2,9,Samsung,Online,Cola,Less Often,Less Often,Less Often,Never,Online,Online,24-28,Male,Student,Other towns in North,MBA/08/077,IIM Amritsar,
1325,5,6,5,10,10,2,3,8,7,8,6,5,5,7,Oppo,Retail,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,MBA/08/004,IIM Amritsar ,
1326,4,8,7,7,9,5,3,6,10,10,7,6,4,10,Samsung,Online,Cola,Less Often,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Student,Other towns in North,MBA/08/192,IIM Amritsar,
1327,9,9,7,2,6,5,8,2,8,8,5,2,2,2,Xiaomi,Online,Cola,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Student,Delhi,MBA/08/183,IIM Amritsar,
1328,6,7,7,9,6,8,8,5,6,8,7,6,6,5,Others,Online,Fruit flavour,Less Often,Less Often,Never,Less Often,Online,Retail Stores,18-23,Male,Student,Delhi,MBA/BA02/004,IIM Amritsar ,
1329,8,10,6,2,10,10,9,1,9,9,5,9,3,5,Xiaomi,Online,I do not consume soft drinks at all,Never,Less Often,Never,Never,Online,Retail Stores,18-23,Male,Student,Other towns in West,MBA/08/234,IIM Amritsar ,
1330,4,9,5,4,10,10,5,5,10,7,5,5,10,5,One Plus,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Student,Delhi,MBA/08/241,IIM AMRITSAR,
1331,3,9,6,4,9,2,7,5,9,8,5,4,4,3,Apple,Online,Cola,Never,Never,Never,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/219,IIM Amritsar,
1332,7,9,2,5,9,3,10,8,9,10,6,6,3,10,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,18-23,Female,Student,Delhi,MBA/08/216,"Indian Institute of Management, Amritsar ",
1333,2,8,6,7,9,3,2,8,7,2,6,3,2,5,Samsung,Online,Fruit flavour,Less Often,Less Often,Less Often,Less Often,Newspaper,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/070,IIM Amritsar,
1334,6,10,6,6,0,9,10,10,3,10,10,0,5,0,One Plus,Retail,I do not consume soft drinks at all,Never,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,MBA/08/129,IIM Amritsar ,
1335,1,9,7,9,7,1,10,1,7,9,6,1,1,9,Apple,Retail,Cola,Less Often,Less Often,Never,Less Often,Online,Retail Stores,18-23,Male,Student,Kolkata,MBA/08/158,IIM AMRITSAR,
1336,3,8,7,7,9,7,4,10,9,7,2,1,1,1,Xiaomi,Retail,White/Colourless,Never,Less Often,Less Often,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/092,IIM Amritsar ,
1337,5,9,5,0,4,4,10,6,8,4,3,8,10,2,Others,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Student,Delhi,MBA/08/087,IIM Amritsar ,
1338,7,9,4,7,9,3,4,7,6,9,6,4,8,8,Others,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,MBA/BA02/007,"Indian Institute of Management, Amritsar ",
1339,0,6,8,5,7,3,3,6,7,5,2,5,8,4,Apple,Retail,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,MBA08090,IIM Amritsar ,
1340,6,5,4,3,7,3,7,3,5,7,8,5,5,4,Samsung,Online,I do not consume soft drinks at all,Never,Never,Less Often,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in East,MBA/08/038,IIM Amritsar ,
1341,7,9,6,6,9,9,7,6,6,9,8,6,6,3,Others,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in West,MBA/08/056,IIM Amritsar ,
1342,4,7,5,7,10,5,9,9,7,9,4,8,8,2,Apple,Online,Cola,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/222,IIM AMRITSAR ,
1343,3,8,6,4,6,8,9,7,6,8,6,4,7,3,Apple,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in North,MBA/08/102,IIM Amritsar ,
1344,2,8,6,6,6,6,4,6,7,8,2,8,8,4,Apple,Online,Cola,Everyday,Everyday,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Student,Delhi,MBA/08/228,IIM AMRITSAR ,
1345,2,8,8,5,3,3,8,5,2,8,6,0,8,7,Xiaomi,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in North,MBA/08/067,IIM Amritsar ,
1346,0,6,8,8,8,4,5,9,1,6,5,3,6,8,Others,Online,Orange,Never,Less Often,Everyday,Less Often,Newspaper,Online,24-28,Male,Student,Other towns in North,MBA/08/094,IIM Amritsar,
1347,6,10,3,8,10,9,3,3,9,7,5,2,2,3,Samsung,Retail,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Mumbai,MBA/08/058,IIM Amritsar ,
1348,6,6,1,5,0,4,6,0,2,5,7,10,7,0,Apple,Retail,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Delhi,MBA/08/202,IIM AMRITSAR,
1349,7,8,7,10,10,10,5,7,5,8,7,6,6,6,Xiaomi,Online,Cola,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/121,IIM AMRITSAR,
1350,3,7,5,3,10,10,8,9,9,8,2,3,9,0,Samsung,Retail,I do not consume soft drinks at all,Never,Never,Everyday,Everyday,Online,Retail Stores,18-23,Male,Student,Other towns in West,MBA08239 ,IIM Amritsar ,
1351,6,9,9,5,10,2,5,0,2,3,4,0,5,4,Xiaomi,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/BA02/013,IIM Amritsar,
1352,10,9,1,10,0,9,1,0,5,9,0,0,9,5,Apple,Retail,Orange,Never,Never,Never,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,MBA/08/011,IIM Amritsar ,
1353,3,6,4,8,9,2,7,8,8,5,5,4,4,7,Samsung,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in North,MBA/08/155,IIM AMRITSAR,
1354,7,6,4,3,5,5,7,2,9,4,5,0,3,4,Apple,Retail,Fruit flavour,Everyday,Never,Everyday,Less Often,Newspaper,Online,24-28,Female,Student,Other towns in South,MBA/08/083,IIM Amritsar ,
1355,4,8,3,3,3,7,6,6,6,6,4,5,4,5,Others,Retail,Fruit flavour,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/065,IIM ,
1356,8,9,8,6,10,3,4,2,5,2,4,3,2,6,Samsung,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Male,Student,Other towns in West,MBA/08/207,IIM Amritsar,
1357,6,9,9,5,2,7,5,5,7,10,7,5,5,5,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Student,Delhi,MBA/08/115,IIM AMRITSAR ,
1358,6,8,2,1,8,3,7,2,9,8,3,8,2,5,Vivo,Retail,Orange,Less Often,Never,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Delhi,MBA/08/159,IIM AMRITSAR ,
1359,3,9,9,5,3,2,8,7,5,9,7,8,7,10,One Plus,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in East,MBA/08/073,"Indian Institute of Management, Amritsar ",
1360,8,10,5,2,10,10,1,6,10,10,7,2,6,0,Apple,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,MBA/08/041,IIM Amritsar ,
1361,0,9,5,8,10,8,7,5,8,10,10,5,8,0,Vivo,Retail,Fruit flavour,Never,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Other towns in North,MBA/08/186,IIM AMRITSAR ,
